# filmdec_pos_rosetta records=54799
eid,slot,bitCursor,x,y,z,sighex
1073742342,518,330,-4.0451,15.5237,-1.2180,b0d83df5250744946d773ffffffffe3f
1073742336,512,76,43.5646,8.4238,0.5031,2fc11dfd488151800b2054b51c66b001
1073742336,512,76,43.5646,8.4238,0.5031,30e721fd68815100c8152d4719ac0f5a
1073742341,517,197,-3.6443,16.1072,-1.2180,20648002ab2053d511e6b0005d0427fe
1073742342,518,299,-4.0451,15.5237,-1.2180,11e6b0005d0427fe12003d6941d1251b
1073742336,512,76,43.5508,8.4377,0.5031,30e721fd68815100c8152d4719ac0f5a
1073742336,512,76,43.5508,8.4377,0.5031,320d25bd88815100c8152f4719ac0f62
1073742341,517,197,-3.6443,16.1072,-1.2180,2064c002ab3cf6053dd11a6b000865c2
1073742342,518,311,-4.0312,15.5237,-1.2180,3dd11a6b000865c2efe12003d8a1283a
1073742336,512,76,43.5369,8.4516,0.5031,320d25bd88815100c8152f4719ac0f62
1073742336,512,76,43.5369,8.4516,0.5031,30e728fda8815100c8152f4719ac0f6a
1073742341,517,197,-3.6305,16.1072,-1.2180,20648002cb8053e511a6b0009d54357b
1073742342,518,299,-4.0174,15.5098,-1.2180,11a6b0009d54357b4940030002507449
1073742336,512,76,43.5093,8.4655,0.5031,30e728fda8815100c8152f4719ac0f6a
1073742336,512,76,43.5093,8.4655,0.5031,30e72c3dc8815100c815314719ac0f72
1073742341,517,197,-3.6305,16.1072,-1.2180,20648002ab2053ed1166b00056203efe
1073742342,518,299,-4.0036,15.5098,-1.2180,1166b00056203efe11ffbdc941d1251b
1073742336,512,76,43.4817,8.4933,0.5031,30e72c3dc8815100c815314719ac0f72
1073742336,512,76,43.4817,8.4933,0.5031,0b0130fde8815100c815314719ac0f7a
1073742341,517,197,-3.6166,16.1072,-1.2180,20648002ab2053f51126b00081c443fe
1073742342,518,299,-3.9898,15.4959,-1.2180,1126b00081c443fe11ffbde941d1251b
1073742336,512,76,43.4540,8.5072,0.5031,0b0130fde8815100c815314719ac0f7a
1073742336,512,76,43.4540,8.5072,0.5031,02f7327e08815100c815314719ac0f82
1073742341,517,197,-3.6166,16.1072,-1.2180,20646002c814ff4439ac0026c2121f04
1073742342,518,293,-3.9760,15.4820,-1.2180,39ac0026c2121f04a0e8928dc887ffff
1073742336,512,76,43.4264,8.5211,0.5031,02f7327e08815100c815314719ac0f82
1073742336,512,76,43.4264,8.5211,0.5031,f9c72d7e28815100c815334729ac0f8a
