film	no_scope	counter_snipe	snipe	instants_no_scope_ms	instants_counter_ms
9bc02a45	7	0	2	149614,154735,183064,187685,206220,207872,250366	-
9bc42624	0	1	1	-	248452
9bd507b8	4	0	1	330961,434567,438037,485801	-
9bf6b540	2	0	0	104388,294436	-
9bfccad5	1	0	2	504236	-
9cd49bbf	1	0	5	175573	-
9d19c7af	2	0	6	240960,442131	-
9d293550	1	1	1	270407	445283
9d8ec00c	7	1	6	46720,48789,56180,63303,134825,146820,153844	440636
9e8fb31b	6	0	1	220846,225384,251294,256214,291899,412305	-
9edfcaa9	2	0	3	286328,454330	-
9f284410	2	0	5	181740,377170	-
9f57c612	1	0	0	350731	-
9fe88ec4	10	2	28	203884,451649,504871,727775,734681,767647,780827,796476,832479,1117309	400700,752398
9ffce8ef	4	0	0	199192,232044,498798,573279	-
a0458195	1	0	3	162628	-
a05da4fd	4	0	1	129717,151139,160665,231336	-
a093d172	2	0	2	104787,293192	-
a0c36016	1	0	4	606448	-
a127fd38	6	0	1	53675,62035,108849,136330,144171,151748	-
a12f267b	32	38	53	87666,97307,97374,102045,137543,145451,165541,182862,183162,195408,196610,212629,224508,227477,239882,251161,282027,288935,292839,303825,311331,340498,359290,363562,371236,374240,387388,387389,393927,394394,401368,409247	71584,88000,105016,106216,121527,124063,131303,134081,146320,148654,155365,161538,168509,171513,175818,182626,190671,208298,211230,211297,220137,266243,269349,278123,293373,307364,310064,317438,318639,322641,331454,344535,345969,366167,366231,366796,369200,404506
a17e7b73	7	0	1	80420,113554,174164,180153,325265,390332,482775	-
a1e89156	1	0	3	279520	-
a1f20336	5	3	5	197485,310715,315637,329584,551474	115634,428717,551391
a21cea14	1	0	1	177501	-
a2454be5	3	2	6	111567,245633,483387	210586,435330
a26d3c4d	1	2	12	439817	74364,282441
a26dbcdb	1	0	3	262673	-
a2a023cf	1	0	0	558933	-
a2a6619e	3	0	0	53590,62065,305211	-
a2c6b8b9	2	0	5	121731,405158	-
a306a162	2	0	7	603090,676264	-
a32ee8d2	1	0	1	92050	-
a349fea8	4	1	5	167208,177092,555627,837150	792432
a369d669	2	0	3	567417,570653	-
a396aa7f	1	0	1	199147	-
a3aab482	9	1	27	166205,247382,366937,379850,485856,1118225,1142347,1146919,1166374	1018758
a3af2b23	4	0	4	196500,349888,357763,401088	-
a4083bd2	5	0	5	228645,277722,423771,437167,579626	-
a409730c	1	0	8	288977	-
a4875c0a	1	2	3	312255	71429,430224
a55aecc5	1	0	0	110951	-
a5975e9e	3	0	0	101256,130618,145500	-
a5e013b1	2	0	0	46695,86402	-
a5e4cc1f	1	0	1	47023	-
a5eb7277	1	2	16	937895	381493,750267
a67226ff	6	0	3	61589,89650,113409,259556,356103,465598	-
a6ae19fb	2	0	2	351975,493552	-
a7a2fce3	3	0	1	169140,200155,334190	-
a7c4b804	1	0	5	229592	-
a808c389	2	0	4	407504,436906	-
a89a3d23	4	0	2	55879,468461,479572,501177	-
a8d61ba2	2	0	21	102612,913670	-
a90acac9	6	0	2	199921,214270,216105,256163,341660,408644	-
a92bab93	2	0	4	353776,361117	-
a9568ec8	6	0	2	161713,165717,194278,201335,217903,270740	-
a991ea77	1	1	5	347816	254153
a9dcfe1a	2	0	9	411014,621459	-
aa1f62e2	2	0	0	64885,342966	-
aa415da6	1	0	0	461280	-
aa530f38	4	0	0	174762,233688,242730,345137	-
aa823fc2	6	0	2	187669,232999,365711,374001,428744,436821	-
ab004e99	5	1	3	247447,253771,256373,515491,544020	49932
ab25035a	4	0	0	167708,182572,315255,383942	-
ab4eef5a	9	0	6	94565,145550,218506,244967,258064,263453,380914,397849,406590	-
ab5daf8d	3	0	2	75228,146484,154225	-
ab937cf1	1	0	0	251716	-
abc56653	1	0	0	388645	-
abcb4f59	1	0	1	82719	-
ac03413d	2	0	0	140672,445060	-
ac041ffa	4	0	2	335059,396689,512372,529773	-
ac313879	6	0	1	157078,165086,175580,176030,178249,286375	-
ac7ec523	0	1	8	-	289447
ac927fdf	3	0	1	240365,253645,431324	-
ac97753c	4	0	9	269259,291047,462554,482950	-
ad10e82a	1	0	0	471352	-
