bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	13	player-masked-property (i13)	4	25	2114	2134	1536	0	400003A0201AFFC0	0	0	[non chaine]
reelle	13	player-masked-property (i13)	7	11	1202	1411	1528	0	78B844D57204FF10	24	9143373	[non chaine]
reelle	13	player-masked-property (i13)	7	11	1204	1378	1525	1	7A94900100DFBE04	24	11094272	[non chaine]
reelle	13	player-masked-property (i13)	7	22	580	690	1523	0	77528F2109000029	24	7678194	[non chaine]
reelle	13	player-masked-property (i13)	8	15	1702	149	1546	1	83852102C7E98962	32	944902188	[non chaine]
reelle	13	player-masked-property (i13)	9	21	1498	149	1547	3	91C23C04C2C98D9E	32	472105036	[non chaine]
reelle	13	player-masked-property (i13)	12	27	1268	149	1539	3	C183800404780808	4	1	[non chaine]
reelle	13	player-masked-property (i13)	12	27	2082	2111	1536	0	C00003A0201BF7C0	4	0	[non chaine]
reelle	13	player-masked-property (i13)	12	28	644	2312	1536	0	C00003A15CDA4001	4	0	[non chaine]
reelle	13	player-masked-property (i13)	15	9	2112	2901	1520	0	F14E442CD58B27CB	4	1	[non chaine]
reelle	13	player-masked-property (i13)	15	10	252	454	1539	0	F9A0A9F051041A9A	4	9	[non chaine]
reelle	14	player-masked-property (i14)	0	9	2220	33	1540	1	087E810321E8592C	0	0	[CHAINE]
reelle	14	player-masked-property (i14)	0	17	1450	1270	1547	3	0000C92A23E44032	0	0	[non chaine]
reelle	14	player-masked-property (i14)	0	21	922	1782	1536	0	000003A0201BF7C0	0	0	[non chaine]
reelle	14	player-masked-property (i14)	3	2	2398	51	1521	1	307AC7E505181E04	0	0	[non chaine]
reelle	14	player-masked-property (i14)	3	3	230	51	1521	1	307AC7E505181E04	0	0	[non chaine]
reelle	14	player-masked-property (i14)	3	3	1286	51	1521	1	307AC7E505181E04	0	0	[non chaine]
reelle	14	player-masked-property (i14)	4	21	1656	1312	1546	1	4685A06854540800	0	0	[non chaine]
reelle	14	player-masked-property (i14)	4	23	208	1968	1540	0	4C2D049C93ED5229	0	0	[non chaine]
