ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
13	25	managed-object-player-masked-property-component	non_porte	61	59	350.0	500.9	0.174	0.118	1.48x	1.00x
13	26	managed-object-player-masked-property-component	non_porte	111	128	350.0	500.9	0.317	0.256	1.24x	1.05x
13	27	managed-object-player-masked-property-component	non_porte	272	229	350.0	500.9	0.777	0.457	1.70x	0.92x
13	28	managed-object-player-masked-property-component	non_porte	67	55	350.0	500.9	0.191	0.110	1.74x	1.45x
13	29	managed-object-player-masked-property-component	non_porte	107	44	350.0	500.9	0.306	0.088	3.48x	0.52x
13	30	managed-object-player-masked-property-component	non_porte	42	80	350.0	500.9	0.120	0.160	0.75x	0.84x
13	31	managed-object-player-masked-property-component	non_porte	52	72	350.0	500.9	0.149	0.144	1.03x	0.82x
13	32	managed-object-player-masked-property-component	non_porte	61	54	350.0	500.9	0.174	0.108	1.62x	1.57x
13	33	managed-object-player-masked-property-component	non_porte	59	60	350.0	500.9	0.169	0.120	1.41x	1.11x
13	34	(hors grammaire)	hors_grammaire	44	63	350.0	500.9	0.126	0.126	1.00x	1.16x
13	35	(hors grammaire)	hors_grammaire	45	58	350.0	500.9	0.129	0.116	1.11x	1.34x
13	36	(hors grammaire)	hors_grammaire	149	154	350.0	500.9	0.426	0.307	1.38x	1.34x
13	37	(hors grammaire)	hors_grammaire	49	31	350.0	500.9	0.140	0.062	2.26x	1.64x
13	38	(hors grammaire)	hors_grammaire	79	45	350.0	500.9	0.226	0.090	2.51x	3.37x
13	39	(hors grammaire)	hors_grammaire	43	60	350.0	500.9	0.123	0.120	1.03x	0.52x
13	40	(hors grammaire)	hors_grammaire	121	77	350.0	500.9	0.346	0.154	2.25x	2.88x
13	41	(hors grammaire)	hors_grammaire	58	73	350.0	500.9	0.166	0.146	1.14x	0.93x
13	42	(hors grammaire)	hors_grammaire	68	82	350.0	500.9	0.194	0.164	1.19x	1.22x
13	43	(hors grammaire)	hors_grammaire	56	50	350.0	500.9	0.160	0.100	1.60x	1.49x
13	44	(hors grammaire)	hors_grammaire	27	49	350.0	500.9	0.077	0.098	0.79x	0.67x
13	45	(hors grammaire)	hors_grammaire	50	59	350.0	500.9	0.143	0.118	1.21x	0.76x
13	46	(hors grammaire)	hors_grammaire	51	56	350.0	500.9	0.146	0.112	1.30x	1.60x
13	47	(hors grammaire)	hors_grammaire	56	52	350.0	500.9	0.160	0.104	1.54x	1.26x
13	48	(hors grammaire)	hors_grammaire	77	69	350.0	500.9	0.220	0.138	1.60x	1.71x
13	49	(hors grammaire)	hors_grammaire	55	34	350.0	500.9	0.157	0.068	2.31x	1.49x
13	50	(hors grammaire)	hors_grammaire	62	76	350.0	500.9	0.177	0.152	1.17x	1.37x
13	51	(hors grammaire)	hors_grammaire	37	48	350.0	500.9	0.106	0.096	1.10x	1.26x
13	52	(hors grammaire)	hors_grammaire	127	167	350.0	500.9	0.363	0.333	1.09x	1.10x
13	53	(hors grammaire)	hors_grammaire	83	77	350.0	500.9	0.237	0.154	1.54x	1.32x
13	54	(hors grammaire)	hors_grammaire	61	48	350.0	500.9	0.174	0.096	1.82x	1.56x
13	55	(hors grammaire)	hors_grammaire	114	139	350.0	500.9	0.326	0.277	1.17x	1.22x
13	56	(hors grammaire)	hors_grammaire	48	79	350.0	500.9	0.137	0.158	0.87x	0.97x
13	57	(hors grammaire)	hors_grammaire	235	134	350.0	500.9	0.671	0.268	2.51x	3.11x
13	58	(hors grammaire)	hors_grammaire	179	232	350.0	500.9	0.511	0.463	1.10x	1.25x
13	59	(hors grammaire)	hors_grammaire	285	327	350.0	500.9	0.814	0.653	1.25x	0.73x
13	60	(hors grammaire)	hors_grammaire	188	188	350.0	500.9	0.537	0.375	1.43x	1.02x
13	61	(hors grammaire)	hors_grammaire	148	144	350.0	500.9	0.423	0.287	1.47x	1.20x
13	62	(hors grammaire)	hors_grammaire	57	105	350.0	500.9	0.163	0.210	0.78x	0.48x
13	63	(hors grammaire)	hors_grammaire	71	115	350.0	500.9	0.203	0.230	0.88x	1.22x
47	0	managed-object-networked-splash-message-static-component	porte	54	65	350.0	500.9	0.154	0.130	1.19x	1.69x
47	1	managed-object-networked-splash-message-dynamic-component	porte	6983	5085	350.0	500.9	19.949	10.151	1.97x	1.35x
47	2	personal-ai-data-component	non_porte	16	44	350.0	500.9	0.046	0.088	0.52x	0.55x
