metaext	24dbb67d	Ranked:Oddball	200	121	519	7341	49	7292	0	373	34212	518050	1196
forme_gen	1	7341
serieh	6	497911	93	1	1
serieh	6	498912	94	1	1
serieh	6	499913	95	1	1
serieh	6	500915	96	1	1
serieh	6	501916	97	1	1
serieh	6	502917	98	1	1
serieh	6	517031	99	1	1
serieh	6	518032	100	1	1
serieh	8	61336	1	0	0
serieh	8	62337	2	0	0
serieh	8	63343	3	0	0
serieh	8	128971	4	0	0
serieh	8	129972	5	0	0
serieh	8	130973	6	0	0
serieh	8	131974	7	0	0
serieh	8	146688	8	0	0
serieh	8	147690	9	0	0
serieh	8	148691	10	0	0
serieh	8	149692	11	0	0
serieh	8	150693	12	0	0
serieh	8	151694	13	0	0
serieh	8	152695	14	0	0
serieh	8	153696	15	0	0
serieh	8	154697	16	0	0
serieh	8	155699	17	0	0
serieh	8	156699	18	0	0
serieh	8	157700	19	0	0
serieh	8	158701	20	0	0
serieh	8	159702	21	0	0
serieh	8	160702	22	0	0
serieh	8	161703	23	0	0
serieh	8	162704	24	0	0
serieh	8	163706	25	0	0
serieh	8	164707	26	0	0
serieh	8	165708	27	0	0
serieh	8	166709	28	0	0
serieh	8	167709	29	0	0
serieh	8	168710	30	0	0
serieh	8	169711	31	0	0
serieh	8	170713	32	0	0
serieh	8	171713	33	0	0
serieh	8	172715	34	0	0
serieh	8	173716	35	0	0
serieh	8	174717	36	0	0
serieh	8	175718	37	0	0
serieh	8	176720	38	0	0
serieh	8	177720	39	0	0
serieh	8	178720	40	0	0
serieh	8	179722	41	0	0
serieh	8	180723	42	0	0
serieh	8	181724	43	0	0
serieh	8	182725	44	0	0
serieh	8	183726	45	0	0
serieh	8	184727	46	0	0
serieh	8	185728	47	0	0
serieh	8	186729	48	0	0
serieh	8	187729	49	0	0
serieh	8	188730	50	0	0
serieh	8	189731	51	0	0
serieh	8	190732	52	0	0
serieh	8	191734	53	0	0
serieh	8	192734	54	0	0
serieh	8	193735	55	0	0
serieh	8	194736	56	0	0
serieh	8	195737	57	0	0
serieh	8	196739	58	0	0
serieh	8	197739	59	0	0
serieh	8	198740	60	0	0
serieh	8	199741	61	0	0
serieh	8	200743	62	0	0
serieh	8	201745	63	0	0
serieh	8	202745	64	0	0
serieh	8	203747	65	0	0
serieh	8	204748	66	0	0
serieh	8	205749	67	0	0
serieh	8	206750	68	0	0
serieh	8	207751	69	0	0
serieh	8	208752	70	0	0
serieh	8	209753	71	0	0
serieh	8	210754	72	0	0
serieh	8	211755	73	0	0
serieh	8	212756	74	0	0
serieh	8	213758	75	0	0
serieh	8	214758	76	0	0
serieh	8	215759	77	0	0
serieh	8	216760	78	0	0
serieh	8	317580	1	1	1
serieh	8	318581	2	1	1
serieh	8	319582	3	1	1
serieh	8	320583	4	1	1
serieh	8	321584	5	1	1
serieh	8	322585	6	1	1
serieh	8	323586	7	1	1
serieh	8	332912	8	1	1
serieh	8	378858	9	1	1
serieh	8	379859	10	1	1
serieh	8	380860	11	1	1
serieh	8	381862	12	1	1
serieh	8	382863	13	1	1
serieh	8	383864	14	1	1
serieh	8	384865	15	1	1
serieh	8	385866	16	1	1
serieh	8	386867	17	1	1
serieh	8	387869	18	1	1
serieh	8	388869	19	1	1
serieh	8	389870	20	1	1
serieh	8	390871	21	1	1
serieh	8	391872	22	1	1
serieh	8	391872	2148051634	2	4
serieh	8	392873	23	1	1
serieh	8	393874	24	1	1
serieh	8	394875	25	1	1
serieh	8	395876	26	1	1
serieh	8	396877	27	1	1
serieh	8	397878	28	1	1
serieh	8	398879	29	1	1
serieh	8	399880	30	1	1
serieh	8	400881	31	1	1
serieh	8	401882	32	1	1
serieh	8	402883	33	1	1
serieh	8	504720	34	1	1
serieh	8	505720	35	1	1
serieh	8	506721	36	1	1
serieh	8	507722	37	1	1
serieh	8	508723	38	1	1
serieh	8	509724	39	1	1
serieh	8	510725	40	1	1
serieh	8	511726	41	1	1
serieh	8	512727	42	1	1
serieh	8	513729	43	1	1
